date,value,minValue,maxValue
2015-01-06 18:57:19,4250.95,-nan(ind),-nan(ind)
2015-01-06 19:02:19,4463.4,-nan(ind),-nan(ind)
2015-01-06 19:07:19,5246.41,-nan(ind),-nan(ind)
2015-01-06 19:12:19,4447.35,-nan(ind),-nan(ind)
2015-01-06 19:17:19,4723.63,-nan(ind),-nan(ind)
2015-01-06 19:22:19,4723.63,-nan(ind),-nan(ind)
2015-01-06 19:27:19,232,-nan(ind),-nan(ind)
2015-01-06 19:32:19,218.333,-nan(ind),-nan(ind)
2015-01-06 19:37:19,192.765,-nan(ind),-nan(ind)
2015-01-06 19:42:19,192.765,-nan(ind),-nan(ind)
2015-01-06 19:47:19,193.529,-nan(ind),-nan(ind)
2015-01-06 19:52:19,202.75,-nan(ind),-nan(ind)
2015-01-06 19:57:19,36.3158,-nan(ind),-nan(ind)
2015-01-06 20:02:19,32.3636,-nan(ind),-nan(ind)
2015-01-06 20:07:19,27.8148,-nan(ind),-nan(ind)
2015-01-06 20:12:19,501.4,-nan(ind),-nan(ind)
2015-01-06 20:17:19,521.167,-nan(ind),-nan(ind)
2015-01-06 20:22:19,623.45,-nan(ind),-nan(ind)
2015-01-06 20:27:19,81,-nan(ind),-nan(ind)
2015-01-06 20:32:19,81,-nan(ind),-nan(ind)
2015-01-06 20:37:19,98,-nan(ind),-nan(ind)
2015-01-06 20:42:19,155.938,-nan(ind),-nan(ind)
2015-01-06 20:47:19,167.389,-nan(ind),-nan(ind)
2015-01-06 20:52:19,516.478,-nan(ind),-nan(ind)
2015-01-06 20:57:19,576.28,-nan(ind),-nan(ind)
2015-01-06 21:02:19,624.783,-nan(ind),-nan(ind)
2015-01-06 21:07:19,686.667,-nan(ind),-nan(ind)
2015-01-06 21:12:19,1015.5,-nan(ind),-nan(ind)
2015-01-06 21:17:19,3026.71,-nan(ind),-nan(ind)
2015-01-06 21:22:19,2544.48,-nan(ind),-nan(ind)
2015-01-06 21:27:19,2119.69,-nan(ind),-nan(ind)
2015-01-06 21:32:19,438.077,-nan(ind),-nan(ind)
2015-01-06 21:37:19,482.269,-nan(ind),-nan(ind)
